pwsid,pop_served,years_in_violation
AL0001107,2376,0
AL0001108,1260,0
AL0001110,3057,1
AL0001114,438,0
AL0001120,12021,0
AL0001124,23523,0
AL0001127,7575,0
AL0001130,1149,0
AL0001131,7782,0
AL0001132,1527,0
AL0001137,13509,0
AL0001139,1038,0
AL0001142,42267,0
AL0001145,16923,1
AL0001148,40986,1
AL0001149,4398,0
AL0001150,26982,0
AL0001151,12903,0
AL0001156,2550,0
AL0001157,21300,0
AL0001159,1383,0
AL0001160,10746,0
AL0001163,38703,0
AL0001164,3252,0
AL0001168,2733,0
AL0001171,2415,0
AL0001172,3000,0
AL0001176,4107,0
AL0001199,6336,0
AL0001202,3039,0
AL0001203,26022,0
AL0001204,17586,0
AL0001205,990,0
AL0001208,3243,0
AL0001209,3864,0
AL0001211,6468,0
AL0001213,1722,1
AL0001216,5097,0
AL0001217,570,0
AL0001219,1044,0
AL0001220,4680,0
AL0001222,10983,0
AL0001223,3435,0
AL0001228,9777,0
AL0001229,594,1
AL0001236,5865,0
AL0001245,13923,0
AL0001247,4467,0
AL0001250,426,0
AL0001258,24087,0
AL0001260,20250,0
AL0001261,32,0
AL0001265,32556,0
AL0001270,1500,0
AL0001273,4101,1
AL0001274,825,0
AL0001279,6813,0
AL0001283,2361,0
AL0001285,1290,1
AL0001288,6102,0
AL0001289,14127,0
AL0001290,3648,0
AL0001293,15096,0
AL0001298,3747,0
AL0001299,5118,0
AL0001301,7077,0
AL0001302,6015,0
AL0001306,8730,0
AL0001307,40551,0
AL0001313,166524,2
AL0001322,4857,0
AL0001324,3159,0
AL0001326,3867,0
AL0001327,1059,0
AL0001336,28638,0
AL0001337,318,1
AL0001342,2103,0
AL0001343,3576,0
AL0001344,6333,0
AL0001345,1329,0
AL0001351,5994,0
AL0001353,2445,0
AL0001357,945,0
AL0001358,2037,0
AL0001360,1809,0
AL0001361,663,0
AL0001362,1710,1
AL0001363,3060,0
AL0001364,2217,0
AL0001366,735,0
AL0001368,1467,0
AL0001371,6144,2
AL0001374,4170,0
AL0001378,1728,0
AL0001380,1674,0
AL0001391,390,0
AL0001393,2361,2
AL0001402,2622,0
AL0001403,8673,0
AL0001410,6075,0
AL0001411,11865,0
AL0001412,1896,1
AL0001420,3903,0
AL0001422,47070,0
