county_fips,specific_yield_kwh_kwp,irradiation_kwh_m2
20041,1458.3,1939.4
20043,1392.0,1831.4
20045,1393.5,1848.7
20047,1576.3,2085.2
20049,1464.0,1945.0
20051,1554.8,2053.2
20053,1519.6,2009.7
20055,1604.1,2128.7
20057,1600.1,2115.4
20059,1408.7,1871.8
20061,1454.3,1926.0
20063,1583.2,2095.1
20065,1558.9,2056.7
20067,1644.6,2188.5
20069,1615.7,2143.2
20071,1647.1,2169.8
20073,1455.1,1927.7
20075,1644.7,2180.1
20077,1524.5,2030.0
20079,1495.8,1979.3
20081,1630.8,2166.0
20083,1601.8,2118.5
20085,1411.2,1861.7
20087,1405.9,1859.4
20089,1488.5,1962.2
20091,1393.7,1849.7
20093,1634.2,2170.3
20095,1538.6,2032.6
20097,1587.3,2099.7
20099,1416.6,1902.5
20101,1597.7,2114.1
20103,1384.5,1835.5
20105,1502.8,1991.1
20107,1401.3,1866.0
20109,1601.0,2121.3
20111,1441.7,1906.9
20113,1490.8,1973.3
20115,1477.3,1957.0
20117,1432.8,1886.9
20119,1612.6,2144.3
20121,1394.5,1854.3
20123,1493.1,1977.2
20125,1426.2,1911.5
20127,1470.7,1941.7
20129,1668.8,2216.9
20131,1421.7,1868.6
20133,1419.0,1900.8
20135,1591.2,2106.6
20137,1518.5,2002.6
20139,1427.9,1886.3
20141,1516.6,2001.2
20143,1481.0,1967.3
20145,1562.8,2068.7
20147,1517.2,2001.7
20149,1429.6,1887.5
20151,1570.9,2076.0
20153,1561.3,2057.4
20155,1522.0,2010.3
20157,1469.3,1936.5
20159,1524.6,2014.7
20161,1448.8,1914.9
20163,1524.6,2013.1
20165,1561.7,2064.4
20167,1534.6,2028.2
20169,1470.8,1956.3
20171,1594.5,2112.6
20173,1503.1,1989.4
20175,1628.1,2161.1
20177,1420.7,1878.2
20179,1564.9,2063.5
20181,1608.4,2121.7
20183,1499.2,1977.6
20185,1544.8,2041.9
20187,1662.8,2206.5
20189,1658.9,2201.8
20191,1506.5,2001.1
20193,1580.8,2084.7
20195,1574.8,2079.8
20197,1442.8,1902.5
20199,1624.2,2148.1
20201,1452.1,1914.5
20203,1617.2,2138.2
20205,1428.0,1907.8
20207,1440.2,1915.2
20209,1381.3,1830.6
21001,1280.2,1734.5
21003,1306.1,1770.0
21005,1281.7,1729.1
21007,1341.2,1811.0
21009,1298.5,1762.4
21011,1223.1,1652.2
21013,1260.9,1702.4
21015,1256.8,1689.8
21017,1274.8,1718.8
21019,1234.2,1666.3
21021,1282.2,1729.4
21023,1255.2,1691.4
21025,1230.1,1665.4
21027,1298.1,1755.8
21029,1285.5,1737.2
21031,1301.7,1767.1
21033,1320.0,1787.0
21035,1327.3,1800.8
21037,1248.9,1679.5
21039,1349.6,1822.8
21041,1266.0,1701.4
21043,1236.0,1668.4
21045,1278.3,1728.2
21047,1313.2,1780.7
21049,1255.0,1695.9
21051,1231.5,1667.2
21053,1272.5,1726.2
21055,1323.9,1792.0
21057,1254.9,1705.8
21059,1331.6,1791.1
21061,1288.6,1747.1
21063,1255.2,1693.4
21065,1244.1,1680.2
21067,1278.2,1723.1
21069,1248.7,1686.1
21071,1185.2,1609.8
21073,1271.5,1715.5
21075,1343.3,1812.7
21077,1263.4,1700.4
21079,1279.4,1728.4
21081,1253.8,1687.5
21083,1336.0,1810.8
21085,1304.9,1767.0
21087,1280.7,1735.8
21089,1241.4,1672.7
21091,1301.4,1755.8
21093,1298.3,1755.9
21095,1216.4,1639.3
21097,1269.5,1709.3
21099,1293.1,1750.7
21101,1321.9,1776.5
21103,1279.6,1721.8
21105,1342.6,1812.6
21107,1307.2,1769.1
21109,1227.0,1656.9
21111,1277.0,1726.6
21113,1287.9,1740.5
21115,1243.5,1681.0
21117,1258.6,1689.8
21119,1214.1,1639.0
21121,1247.3,1689.1
21123,1296.0,1752.3
21125,1269.4,1715.8
21127,1247.2,1684.8
21129,1246.9,1685.5
21131,1170.6,1585.6
21133,1242.7,1673.1
21135,1228.3,1654.2
21137,1281.5,1729.2
21139,1337.4,1812.0
21141,1309.4,1773.8
21143,1301.1,1758.4
21145,1335.3,1808.5
21147,1269.7,1718.2
21149,1321.5,1779.7
21151,1271.9,1719.1
21153,1218.2,1647.0
21155,1278.7,1728.6
21157,1321.0,1790.6
21159,1230.8,1666.1
21161,1253.9,1689.3
21163,1292.9,1745.9
21165,1217.0,1645.0
21167,1279.2,1728.0
21169,1294.6,1754.2
21171,1296.8,1759.4
21173,1265.4,1709.0
